trace,Num. PREGS,ROB entries,Num. SchedQ entries per FU,Num. ALU FUs,Num. MUL FUs,Num. LSU FUs,Fetch width,Dispatch width,P,H,Predictor (M),Cycles,Trace instructions,Fetched instructions,Retired instructions,Total branch instructions,Branch Mispredictions,I-cache misses,D-cache misses,Cycles with no fires,No dispatch cycles due to ROB,No dispatch cycles due to PRegs,Max DispQ usage,Average DispQ usage,Max SchedQ usage,Average SchedQ usage,Max ROB usage,Average ROB usage,IPC,branch_pattern_table_size,reservation_station_size,resource_utilization
deepsjeng531,32,64,4,1,1,1,2,2,16,16,GSPLIT,2203260,2000000,4288094,2000000,171719,49098,1023,12840,580520,0,182014,209,13.587,12,8.105,32,10.923,0.908,16,12,393.0
deepsjeng531,64,96,4,1,1,1,2,2,16,16,GSPLIT,2181195,2000000,4243976,2000000,171719,49092,1023,12840,565358,0,0,203,12.579,12,8.627,43,11.862,0.917,16,12,617.0
deepsjeng531,128,160,4,1,1,1,2,2,16,16,GSPLIT,2181195,2000000,4243976,2000000,171719,49092,1023,12840,565358,0,0,203,12.579,12,8.627,43,11.862,0.917,16,12,1065.0
deepsjeng531,32,64,4,1,1,1,4,4,16,16,GSPLIT,2203497,2000000,8566113,2000000,171719,51916,1023,12840,585432,0,208166,355,22.367,12,8.626,32,11.496,0.908,16,12,397.0
deepsjeng531,64,96,4,1,1,1,4,4,16,16,GSPLIT,2182617,2000000,8482593,2000000,171719,51916,1023,12840,570885,0,0,355,21.494,12,9.126,43,12.413,0.916,16,12,621.0
deepsjeng531,128,160,4,1,1,1,4,4,16,16,GSPLIT,2182617,2000000,8482593,2000000,171719,51916,1023,12840,570885,0,0,355,21.494,12,9.126,43,12.413,0.916,16,12,1069.0
deepsjeng531,32,64,4,1,1,1,8,8,16,16,GSPLIT,2202913,2000000,17124897,2000000,171719,52236,1023,12840,585270,0,210112,417,27.381,12,8.782,32,11.658,0.908,16,12,405.0
deepsjeng531,64,96,4,1,1,1,8,8,16,16,GSPLIT,2181758,2000000,16955657,2000000,171719,52236,1023,12840,570490,0,0,417,26.553,12,9.282,43,12.579,0.917,16,12,629.0
deepsjeng531,128,160,4,1,1,1,8,8,16,16,GSPLIT,2181758,2000000,16955657,2000000,171719,52236,1023,12840,570490,0,0,417,26.553,12,9.282,43,12.579,0.917,16,12,1077.0
deepsjeng531,32,64,4,1,1,2,2,2,16,16,GSPLIT,2036208,2000000,3954059,2000000,171719,49063,1023,12840,458997,0,262741,198,10.94,16,8.809,42,11.854,0.982,16,16,403.0
