trace,Num. PREGS,ROB entries,Num. SchedQ entries per FU,Num. ALU FUs,Num. MUL FUs,Num. LSU FUs,Fetch width,Dispatch width,P,H,Predictor (M),Cycles,Trace instructions,Fetched instructions,Retired instructions,Total branch instructions,Branch Mispredictions,I-cache misses,D-cache misses,Cycles with no fires,No dispatch cycles due to ROB,No dispatch cycles due to PRegs,Max DispQ usage,Average DispQ usage,Max SchedQ usage,Average SchedQ usage,Max ROB usage,Average ROB usage,IPC,branch_pattern_table_size,reservation_station_size,resource_utilization
deepsjeng531,32,64,4,1,1,1,2,2,0,8,GSPLIT,2189575,2000000,4268336,2000000,171719,45295,1023,12840,569566,0,230066,203,15.383,12,8.123,32,10.942,0.913,16,12,393.0
deepsjeng531,64,96,4,1,1,1,2,2,0,8,GSPLIT,2163205,2000000,4215584,2000000,171719,45301,1023,12840,551441,0,0,203,14.082,12,8.807,43,12.126,0.925,16,12,617.0
deepsjeng531,128,160,4,1,1,1,2,2,0,8,GSPLIT,2163205,2000000,4215584,2000000,171719,45301,1023,12840,551441,0,0,203,14.082,12,8.807,43,12.126,0.925,16,12,1065.0
deepsjeng531,32,64,4,1,1,1,4,4,0,8,GSPLIT,2188120,2000000,8520798,2000000,171719,47871,1023,12840,572671,0,230606,299,24.533,12,8.695,32,11.558,0.914,16,12,397.0
deepsjeng531,64,96,4,1,1,1,4,4,0,8,GSPLIT,2162813,2000000,8419570,2000000,171719,47871,1023,12840,555296,0,0,299,23.481,12,9.299,43,12.643,0.925,16,12,621.0
deepsjeng531,128,160,4,1,1,1,4,4,0,8,GSPLIT,2162813,2000000,8419570,2000000,171719,47871,1023,12840,555296,0,0,299,23.481,12,9.299,43,12.643,0.925,16,12,1069.0
deepsjeng531,32,64,4,1,1,1,8,8,0,8,GSPLIT,2192074,2000000,17063160,2000000,171719,49115,1023,12840,575688,0,228420,384,29.157,12,8.837,32,11.709,0.912,16,12,405.0
deepsjeng531,64,96,4,1,1,1,8,8,0,8,GSPLIT,2167138,2000000,16863672,2000000,171719,49115,1023,12840,558424,0,0,384,28.194,12,9.419,43,12.768,0.923,16,12,629.0
deepsjeng531,128,160,4,1,1,1,8,8,0,8,GSPLIT,2167138,2000000,16863672,2000000,171719,49115,1023,12840,558424,0,0,384,28.194,12,9.419,43,12.768,0.923,16,12,1077.0
deepsjeng531,32,64,4,1,1,2,2,2,0,8,GSPLIT,2018788,2000000,3926916,2000000,171719,45220,1023,12840,446955,0,298844,313,12.422,16,8.839,42,11.901,0.991,16,16,403.0
deepsjeng531,64,96,4,1,1,2,2,2,0,8,GSPLIT,1982502,2000000,3854398,2000000,171719,45193,1023,12840,422202,0,6228,310,10.114,16,10.136,65,13.979,1.009,16,16,627.0
deepsjeng531,128,160,4,1,1,2,2,2,0,8,GSPLIT,1982160,2000000,3853714,2000000,171719,45193,1023,12840,421944,0,0,310,10.095,16,10.149,76,14.0,1.009,16,16,1075.0
deepsjeng531,32,64,4,1,1,2,4,4,0,8,GSPLIT,2015282,2000000,7829252,2000000,171719,47921,1023,12840,452650,0,338739,278,21.653,16,10.14,42,13.324,0.992,16,16,407.0
deepsjeng531,64,96,4,1,1,2,4,4,0,8,GSPLIT,1982345,2000000,7697504,2000000,171719,47921,1023,12840,429403,0,3969,278,19.797,16,11.294,65,15.217,1.009,16,16,631.0
deepsjeng531,128,160,4,1,1,2,4,4,0,8,GSPLIT,1982247,2000000,7697112,2000000,171719,47921,1023,12840,429300,0,0,278,19.787,16,11.304,76,15.228,1.009,16,16,1079.0
deepsjeng531,32,64,4,1,1,2,8,8,0,8,GSPLIT,2017614,2000000,15667485,2000000,171719,49115,1023,12840,455709,0,346936,373,26.638,16,10.442,42,13.626,0.991,16,16,415.0
deepsjeng531,64,96,4,1,1,2,8,8,0,8,GSPLIT,1985746,2000000,15412541,2000000,171719,49115,1023,12840,432666,0,4036,373,24.879,16,11.567,65,15.485,1.007,16,16,639.0
deepsjeng531,128,160,4,1,1,2,8,8,0,8,GSPLIT,1985648,2000000,15411757,2000000,171719,49115,1023,12840,432563,0,0,373,24.869,16,11.576,76,15.496,1.007,16,16,1087.0
deepsjeng531,32,64,4,2,1,1,2,2,0,8,GSPLIT,1849138,2000000,3590678,2000000,171719,43733,1023,12840,646787,0,282990,202,10.987,16,7.091,36,11.176,1.082,16,16,401.0
deepsjeng531,64,96,4,2,1,1,2,2,0,8,GSPLIT,1818091,2000000,3528613,2000000,171719,43720,1023,12840,623330,0,127,198,8.095,16,8.494,53,13.608,1.1,16,16,625.0
deepsjeng531,128,160,4,2,1,1,2,2,0,8,GSPLIT,1818089,2000000,3528609,2000000,171719,43720,1023,12840,623330,0,0,198,8.095,16,8.494,53,13.608,1.1,16,16,1073.0
deepsjeng531,32,64,4,2,1,1,4,4,0,8,GSPLIT,1806001,2000000,6993504,2000000,171719,47628,1023,12840,664643,0,396420,285,18.642,16,9.309,44,14.244,1.107,16,16,405.0
deepsjeng531,64,96,4,2,1,1,4,4,0,8,GSPLIT,1778050,2000000,6881416,2000000,171719,47704,1023,12840,640568,0,185,285,15.675,16,10.817,55,16.797,1.125,16,16,629.0
deepsjeng531,128,160,4,2,1,1,4,4,0,8,GSPLIT,1778026,2000000,6881320,2000000,171719,47704,1023,12840,640560,0,0,285,15.675,16,10.818,55,16.798,1.125,16,16,1077.0
deepsjeng531,32,64,4,2,1,1,8,8,0,8,GSPLIT,1805505,2000000,13972620,2000000,171719,48922,1023,12840,669935,0,413898,378,24.109,16,9.729,44,14.75,1.108,16,16,413.0
deepsjeng531,64,96,4,2,1,1,8,8,0,8,GSPLIT,1776910,2000000,13743900,2000000,171719,48922,1023,12840,645312,0,537,378,21.462,16,11.166,55,17.222,1.126,16,16,637.0
deepsjeng531,128,160,4,2,1,1,8,8,0,8,GSPLIT,1776886,2000000,13743708,2000000,171719,48922,1023,12840,645304,0,0,378,21.461,16,11.167,55,17.224,1.126,16,16,1085.0
deepsjeng531,32,64,4,2,1,2,2,2,0,8,GSPLIT,1627187,2000000,3148262,2000000,171719,42990,1023,12840,494968,0,215219,197,8.873,20,5.93,44,9.956,1.229,16,20,411.0
deepsjeng531,64,96,4,2,1,2,2,2,0,8,GSPLIT,1582964,2000000,3060242,2000000,171719,42781,1023,12840,472644,0,12691,181,5.326,20,7.573,65,12.887,1.263,16,20,635.0
deepsjeng531,128,160,4,2,1,2,2,2,0,8,GSPLIT,1582757,2000000,3059828,2000000,171719,42781,1023,12840,472487,0,0,181,5.286,20,7.602,80,12.927,1.264,16,20,1083.0
deepsjeng531,32,64,4,2,1,2,4,4,0,8,GSPLIT,1556380,2000000,5994698,2000000,171719,47713,1023,12840,520932,0,423736,251,16.296,20,9.299,50,14.639,1.285,16,20,415.0
deepsjeng531,64,96,4,2,1,2,4,4,0,8,GSPLIT,1516144,2000000,5833765,2000000,171719,47716,1023,12840,500971,0,8328,226,12.013,20,11.796,74,18.719,1.319,16,20,639.0
deepsjeng531,128,160,4,2,1,2,4,4,0,8,GSPLIT,1516072,2000000,5833477,2000000,171719,47716,1023,12840,500940,0,0,226,11.98,20,11.825,84,18.752,1.319,16,20,1087.0
deepsjeng531,32,64,4,2,1,2,8,8,0,8,GSPLIT,1551858,2000000,11943041,2000000,171719,48977,1023,12840,521592,0,469997,369,22.545,20,10.059,50,15.52,1.289,16,20,423.0
deepsjeng531,64,96,4,2,1,2,8,8,0,8,GSPLIT,1512714,2000000,11629937,2000000,171719,48976,1023,12840,502451,0,8230,369,18.342,20,12.486,68,19.482,1.322,16,20,647.0
deepsjeng531,128,160,4,2,1,2,8,8,0,8,GSPLIT,1512650,2000000,11629425,2000000,171719,48976,1023,12840,502404,0,0,369,18.311,20,12.515,81,19.513,1.322,16,20,1095.0
deepsjeng531,32,64,4,2,2,1,2,2,0,8,GSPLIT,1849087,2000000,3590576,2000000,171719,43733,1023,12840,648323,0,313022,202,10.718,20,7.279,41,11.442,1.082,16,20,412.0
deepsjeng531,64,96,4,2,2,1,2,2,0,8,GSPLIT,1816606,2000000,3525647,2000000,171719,43718,1023,12840,625880,0,4890,185,6.884,20,9.286,56,14.77,1.101,16,20,636.0
deepsjeng531,128,160,4,2,2,1,2,2,0,8,GSPLIT,1816577,2000000,3525589,2000000,171719,43718,1023,12840,625834,0,0,185,6.876,20,9.293,64,14.777,1.101,16,20,1084.0
deepsjeng531,32,64,4,2,2,1,4,4,0,8,GSPLIT,1804036,2000000,6985640,2000000,171719,47629,1023,12840,670703,0,509073,285,17.675,20,9.956,51,15.159,1.109,16,20,416.0
deepsjeng531,64,96,4,2,2,1,4,4,0,8,GSPLIT,1772223,2000000,6858120,2000000,171719,47703,1023,12840,648263,0,765,277,13.253,20,12.429,59,19.041,1.129,16,20,640.0
deepsjeng531,128,160,4,2,2,1,4,4,0,8,GSPLIT,1772195,2000000,6858008,2000000,171719,47703,1023,12840,648223,0,0,277,13.25,20,12.431,65,19.044,1.129,16,20,1088.0
deepsjeng531,32,64,4,2,2,1,8,8,0,8,GSPLIT,1802155,2000000,13945820,2000000,171719,48922,1023,12840,672429,0,550739,373,22.867,20,10.598,51,15.935,1.11,16,20,424.0
deepsjeng531,64,96,4,2,2,1,8,8,0,8,GSPLIT,1769477,2000000,13684468,2000000,171719,48921,1023,12840,649837,0,1188,373,18.773,20,12.983,59,19.711,1.13,16,20,648.0
deepsjeng531,128,160,4,2,2,1,8,8,0,8,GSPLIT,1769451,2000000,13684260,2000000,171719,48921,1023,12840,649796,0,0,373,18.77,20,12.986,65,19.714,1.13,16,20,1096.0
deepsjeng531,32,64,4,2,2,2,2,2,0,8,GSPLIT,1627003,2000000,3147894,2000000,171719,42990,1023,12840,495606,0,224708,197,8.82,24,5.974,44,10.011,1.229,16,24,422.0
deepsjeng531,64,96,4,2,2,2,2,2,0,8,GSPLIT,1582491,2000000,3059294,2000000,171719,42782,1023,12840,473483,0,16946,177,4.826,24,7.914,65,13.373,1.264,16,24,646.0
deepsjeng531,128,160,4,2,2,2,2,2,0,8,GSPLIT,1582185,2000000,3058682,2000000,171719,42782,1023,12840,473085,0,0,177,4.741,24,7.963,88,13.458,1.264,16,24,1094.0
deepsjeng531,32,64,4,2,2,2,4,4,0,8,GSPLIT,1554963,2000000,5989038,2000000,171719,47711,1023,12840,522760,0,481944,251,15.996,24,9.52,53,14.918,1.286,16,24,426.0
deepsjeng531,64,96,4,2,2,2,4,4,0,8,GSPLIT,1512693,2000000,5819977,2000000,171719,47714,1023,12840,500421,0,13793,221,10.393,24,12.997,74,20.283,1.322,16,24,650.0
deepsjeng531,128,160,4,2,2,2,4,4,0,8,GSPLIT,1512490,2000000,5819165,2000000,171719,47714,1023,12840,500108,0,0,221,10.31,24,13.048,89,20.366,1.322,16,24,1098.0
deepsjeng531,32,64,4,2,2,2,8,8,0,8,GSPLIT,1550043,2000000,11928513,2000000,171719,48978,1023,12840,523419,0,551033,369,21.899,24,10.577,53,16.132,1.29,16,24,434.0
deepsjeng531,64,96,4,2,2,2,8,8,0,8,GSPLIT,1508603,2000000,11597049,2000000,171719,48978,1023,12840,503107,0,14383,365,16.339,24,14.01,72,21.389,1.326,16,24,658.0
deepsjeng531,128,160,4,2,2,2,8,8,0,8,GSPLIT,1508413,2000000,11595529,2000000,171719,48978,1023,12840,502817,0,0,365,16.258,24,14.06,89,21.469,1.326,16,24,1106.0
deepsjeng531,32,64,4,3,2,2,4,4,0,8,GSPLIT,1497393,2000000,5759324,2000000,171719,47576,1023,12840,538049,0,463296,251,15.832,28,8.79,53,14.761,1.336,16,28,434.0
deepsjeng531,64,96,4,3,2,2,4,4,0,8,GSPLIT,1447442,2000000,5559436,2000000,171719,47613,1023,12840,514119,0,32672,213,8.182,28,12.986,73,21.751,1.382,16,28,658.0
deepsjeng531,128,160,4,3,2,2,4,4,0,8,GSPLIT,1446868,2000000,5557140,2000000,171719,47613,1023,12840,512903,0,0,212,7.882,28,13.158,97,22.026,1.382,16,28,1106.0
deepsjeng531,32,64,4,3,2,2,8,8,0,8,GSPLIT,1485931,2000000,11415633,2000000,171719,48983,1023,12840,547360,0,593129,369,21.333,28,10.02,53,16.395,1.346,16,28,442.0
deepsjeng531,64,96,4,3,2,2,8,8,0,8,GSPLIT,1436350,2000000,11019113,2000000,171719,48982,1023,12840,524575,0,35097,360,13.224,28,14.593,73,23.869,1.392,16,28,666.0
deepsjeng531,128,160,4,3,2,2,8,8,0,8,GSPLIT,1435732,2000000,11014169,2000000,171719,48982,1023,12840,523306,0,0,360,12.958,28,14.737,97,24.115,1.393,16,28,1114.0
deepsjeng531,32,64,4,3,3,2,4,4,0,8,GSPLIT,1497390,2000000,5759312,2000000,171719,47576,1023,12840,538062,0,467564,251,15.812,32,8.806,53,14.781,1.336,16,32,445.0
deepsjeng531,64,96,4,3,3,2,4,4,0,8,GSPLIT,1447264,2000000,5558724,2000000,171719,47613,1023,12840,514570,0,44792,209,7.3,32,13.522,75,22.625,1.382,16,32,669.0
deepsjeng531,128,160,4,3,3,2,4,4,0,8,GSPLIT,1446126,2000000,5554172,2000000,171719,47613,1023,12840,513579,0,0,208,6.808,32,13.827,101,23.08,1.383,16,32,1117.0
deepsjeng531,32,64,4,3,3,2,8,8,0,8,GSPLIT,1485927,2000000,11415601,2000000,171719,48983,1023,12840,547126,0,608351,369,21.265,32,10.076,53,16.462,1.346,16,32,453.0
deepsjeng531,64,96,4,3,3,2,8,8,0,8,GSPLIT,1435506,2000000,11012393,2000000,171719,48981,1023,12840,526249,0,51932,355,11.808,32,15.504,75,25.217,1.393,16,32,677.0
deepsjeng531,128,160,4,3,3,2,8,8,0,8,GSPLIT,1434117,2000000,11001281,2000000,171719,48981,1023,12840,525149,0,0,355,11.342,32,15.77,101,25.621,1.395,16,32,1125.0
deepsjeng531,32,64,6,1,1,1,2,2,0,8,GSPLIT,2182385,2000000,4253979,2000000,171719,45285,1023,12840,566743,0,410734,202,13.397,18,9.702,39,12.852,0.916,16,18,402.0
deepsjeng531,64,96,6,1,1,1,2,2,0,8,GSPLIT,2149336,2000000,4187898,2000000,171719,45276,1023,12840,547523,0,92,187,10.69,18,11.436,51,15.397,0.931,16,18,626.0
