trace,Num. PREGS,ROB entries,Num. SchedQ entries per FU,Num. ALU FUs,Num. MUL FUs,Num. LSU FUs,Fetch width,Dispatch width,P,H,Predictor (M),Cycles,Trace instructions,Fetched instructions,Retired instructions,Total branch instructions,Branch Mispredictions,I-cache misses,D-cache misses,Cycles with no fires,No dispatch cycles due to ROB,No dispatch cycles due to PRegs,Max DispQ usage,Average DispQ usage,Max SchedQ usage,Average SchedQ usage,Max ROB usage,Average ROB usage,IPC,branch_pattern_table_size,reservation_station_size,resource_utilization
deepsjeng531,32,64,4,1,1,1,2,2,9,6,GSELECT,2180460,2000000,4252786,2000000,171719,43962,1023,12840,562944,0,233223,262,15.517,12,8.162,33,11.006,0.917,8,12,389.0
deepsjeng531,64,96,4,1,1,1,2,2,9,6,GSELECT,2154975,2000000,4201824,2000000,171719,43958,1023,12840,545822,0,0,250,14.288,12,8.838,43,12.128,0.928,8,12,613.0
deepsjeng531,128,160,4,1,1,1,2,2,9,6,GSELECT,2154975,2000000,4201824,2000000,171719,43958,1023,12840,545822,0,0,250,14.288,12,8.838,43,12.128,0.928,8,12,1061.0
deepsjeng531,32,64,4,1,1,1,4,4,9,6,GSELECT,2182656,2000000,8503118,2000000,171719,46835,1023,12840,567685,0,233509,291,24.886,12,8.746,34,11.645,0.916,8,12,393.0
deepsjeng531,64,96,4,1,1,1,4,4,9,6,GSELECT,2158122,2000000,8404982,2000000,171719,46835,1023,12840,551463,0,0,291,23.92,12,9.338,43,12.662,0.927,8,12,617.0
deepsjeng531,128,160,4,1,1,1,4,4,9,6,GSELECT,2158122,2000000,8404982,2000000,171719,46835,1023,12840,551463,0,0,291,23.92,12,9.338,43,12.662,0.927,8,12,1065.0
deepsjeng531,32,64,4,1,1,1,8,8,9,6,GSELECT,2185556,2000000,17021425,2000000,171719,47815,1023,12840,570679,0,241228,446,30.027,12,8.868,34,11.731,0.915,8,12,401.0
deepsjeng531,64,96,4,1,1,1,8,8,9,6,GSELECT,2160044,2000000,16817329,2000000,171719,47815,1023,12840,553324,0,0,446,29.074,12,9.465,43,12.802,0.926,8,12,625.0
deepsjeng531,128,160,4,1,1,1,8,8,9,6,GSELECT,2160044,2000000,16817329,2000000,171719,47815,1023,12840,553324,0,0,446,29.074,12,9.465,43,12.802,0.926,8,12,1073.0
deepsjeng531,32,64,4,1,1,2,2,2,9,6,GSELECT,2007972,2000000,3908644,2000000,171719,43542,1023,12840,439110,0,320608,305,12.714,16,8.841,42,11.944,0.996,8,16,399.0
deepsjeng531,64,96,4,1,1,2,2,2,9,6,GSELECT,1970181,2000000,3833128,2000000,171719,43509,1023,12840,413146,0,5699,302,10.357,16,10.229,70,14.077,1.015,8,16,623.0
deepsjeng531,128,160,4,1,1,2,2,2,9,6,GSELECT,1969868,2000000,3832502,2000000,171719,43509,1023,12840,412866,0,0,302,10.331,16,10.245,81,14.103,1.015,8,16,1071.0
deepsjeng531,32,64,4,1,1,2,4,4,9,6,GSELECT,2005395,2000000,7794089,2000000,171719,46830,1023,12840,444362,0,354206,278,22.002,16,10.153,42,13.39,0.997,8,16,403.0
deepsjeng531,64,96,4,1,1,2,4,4,9,6,GSELECT,1973413,2000000,7666177,2000000,171719,46826,1023,12840,422173,0,4587,278,20.166,16,11.346,70,15.269,1.013,8,16,627.0
deepsjeng531,128,160,4,1,1,2,4,4,9,6,GSELECT,1973201,2000000,7665329,2000000,171719,46826,1023,12840,421966,0,0,278,20.146,16,11.36,81,15.289,1.014,8,16,1075.0
deepsjeng531,32,64,4,1,1,2,8,8,9,6,GSELECT,2009819,2000000,15614483,2000000,171719,47945,1023,12840,448781,0,357701,442,27.28,16,10.46,42,13.692,0.995,8,16,411.0
deepsjeng531,64,96,4,1,1,2,8,8,9,6,GSELECT,1978551,2000000,15364339,2000000,171719,47945,1023,12840,427108,0,4699,442,25.557,16,11.631,70,15.525,1.011,8,16,635.0
